 , , ,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,
 , , ,SRE,LRE,LGRE,HGRE,SRLE,SRHE,LRLE,LRHE,GNU,GNUN,RLNU,RLNUN,RP,GLV,RLV,RE,
100,CT,ap,0.92995,1.33205,0.0153938,304.08,0.0142875,283.191,0.0201248,402.367,16.9168,0.053096,263.624,0.83278,0.907507,37.1414,0.116196,4.87008,
100,CT,pvp,0.937841,1.28183,0.014675,326.783,0.014003,307.108,0.0175853,416.175,16.4219,0.0502804,277.762,0.850202,0.918995,39.6305,0.0955319,4.88421,
101,CT,ap,0.922021,1.37603,0.0116435,328.833,0.0110065,302.788,0.0146935,454.317,74.5121,0.0535243,1117.47,0.816248,0.897449,32.5765,0.131418,4.9472,
101,CT,pvp,0.918277,1.39681,0.0135448,318.767,0.0126563,292.289,0.0178637,446.93,87.5204,0.0608161,1133.63,0.808411,0.892816,31.0511,0.138896,4.84997,
102,CT,ap,0.958533,1.1807,0.0372218,205.768,0.0368696,198.255,0.0387121,238.82,4.79836,0.0589981,73.045,0.897332,0.945749,53.2618,0.0606204,4.5042,
102,CT,pvp,0.961024,1.1633,0.0269295,264.185,0.0265276,252.561,0.0285798,312.645,5.48904,0.0510565,97.2785,0.902477,0.949675,48.0488,0.0534612,4.6969,
103,CT,ap,0.951747,1.22241,0.0274832,308.953,0.0271429,290.059,0.0289136,398.152,4.15205,0.0479221,75.7613,0.881968,0.935838,68.0719,0.0779637,4.75545,
103,CT,pvp,0.949201,1.2202,0.0361117,301.624,0.0348929,282.65,0.0410395,384.642,4.01579,0.0504049,69.178,0.875281,0.934272,69.4785,0.0729387,4.70378,
104,CT,ap,0.956544,1.19526,0.0166498,330.937,0.0161678,316.64,0.0186658,394.163,15.4007,0.0515636,266.645,0.892257,0.942263,37.6841,0.0677082,4.76697,
104,CT,pvp,0.95774,1.19003,0.0147782,324.061,0.0145539,310.364,0.0159337,385.914,17.9437,0.0537979,297.521,0.89512,0.94358,35.1875,0.0659298,4.71506,
105,CT,ap,0.95852,1.19127,0.0312044,308.789,0.0298881,292.531,0.0366299,384.756,5.06035,0.0521145,87.7462,0.898354,0.944437,58.547,0.0665493,4.65704,
105,CT,pvp,0.951583,1.20894,0.0299464,245.515,0.0292561,231.442,0.0328121,305.192,5.48367,0.056548,84.5071,0.882288,0.93794,55.6848,0.0684065,4.57905,
106,CT,ap,0.963927,1.14429,0.0432008,159.74,0.0428194,154.71,0.0447264,179.859,2.84946,0.0624495,41.8862,0.909898,0.954739,72.1819,0.0450509,4.31952,
106,CT,pvp,0.977547,1.1069,0.0475861,161.814,0.0472635,158.833,0.0492692,175.395,3.35947,0.0597002,52.6536,0.944086,0.968471,55.9368,0.0391406,4.3383,
107,CT,ap,0.970932,1.11908,0.0321146,228.735,0.0316682,222.539,0.0339779,253.623,4.07222,0.0514567,73.4725,0.926515,0.962562,58.8022,0.038598,4.60202,
107,CT,pvp,0.949453,1.21939,0.041885,240.081,0.0413062,226.648,0.0442996,299.065,3.45665,0.0506463,62.4235,0.877154,0.9356,75.1649,0.0723881,4.64951,
108,CT,ap,0.938488,1.28161,0.0117781,342.19,0.0111396,320.49,0.0144687,441.765,38.5785,0.0540807,600.294,0.851137,0.919065,33.0643,0.0967818,4.82647,
108,CT,pvp,0.942381,1.26872,0.0129164,308.788,0.0124548,289.986,0.0149312,397.447,37.7327,0.0541135,587.813,0.860048,0.923334,32.6374,0.0946098,4.8058,
109,CT,ap,0.94947,1.21202,0.0303105,291.948,0.0300719,274.066,0.031291,367.21,5.52132,0.058074,85.0576,0.876132,0.936134,69.8458,0.0682709,4.58274,
109,CT,pvp,0.943468,1.28619,0.0315814,230.484,0.0308539,215.152,0.0347634,307.027,5.72078,0.0622336,76.9523,0.864885,0.922918,87.3639,0.105141,4.5063,
110,CT,ap,0.959402,1.18464,0.0248402,296.024,0.0245844,282.17,0.0259775,359.764,4.62399,0.0556521,75.5619,0.900389,0.945837,61.1844,0.0638234,4.6089,
110,CT,pvp,0.956701,1.20093,0.033826,292.344,0.033572,277.593,0.0349052,365.28,4.23461,0.0523651,71.837,0.89428,0.941871,60.772,0.0701518,4.64609,
111,CT,ap,0.965228,1.14307,0.0358064,251.846,0.0356201,241.23,0.0365751,294.981,4.77021,0.0533251,81.0434,0.913242,0.955743,71.1647,0.0458357,4.59747,
111,CT,pvp,0.936418,1.3132,0.022818,232.692,0.0224144,216.461,0.0246767,315.085,6.21618,0.0570575,91.6955,0.848987,0.914324,51.6242,0.112359,4.63788,
112,CT,ap,0.905855,1.47755,0.0108948,327.325,0.0102244,295.108,0.0142521,490.111,89.2127,0.053849,1243.7,0.782961,0.875779,31.3941,0.170336,5.01905,
