 , , ,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,
112,CT,pvp,0.911561,1.44367,0.0135197,353.51,0.0128969,319.461,0.0163186,526.641,96.2581,0.0593887,1242.4,0.794731,0.883198,32.2666,0.157803,4.89963,
113,CT,ap,0.949663,1.22938,0.0253298,276.777,0.0250822,259.925,0.0264323,354.025,5.41878,0.0523074,90.2817,0.877654,0.933788,64.8164,0.0781654,4.66452,
113,CT,pvp,0.934212,1.30065,0.0316913,288.951,0.030735,264.248,0.0356186,403.09,5.61327,0.0598504,81.2573,0.843827,0.915213,74.7966,0.100764,4.60019,
114,CT,ap,0.932315,1.31726,0.0110255,250.479,0.0104614,235.17,0.0136664,321.071,80.0457,0.0598385,1090.4,0.837431,0.910602,33.6687,0.110589,4.81775,
114,CT,pvp,0.926547,1.35268,0.0149057,204.139,0.0140536,191.899,0.0189167,262.22,79.6583,0.0642166,975.946,0.825272,0.902693,34.4437,0.124317,4.76588,
115,CT,ap,0.937303,1.29016,0.016289,390.51,0.0160985,362.334,0.0171537,521.214,9.35489,0.0532159,149.224,0.849295,0.917465,50.0301,0.0998276,4.79949,
115,CT,pvp,0.942523,1.26225,0.0177402,352.648,0.0175249,330.04,0.0186845,456.956,11.2324,0.0601881,156.426,0.861408,0.924743,47.345,0.0895251,4.62511,
116,CT,ap,0.931406,1.31818,0.0154746,396.187,0.0151698,365.186,0.016835,542.272,19.9973,0.0555814,291.699,0.835808,0.91029,41.3613,0.109373,4.84295,
116,CT,pvp,0.935729,1.30096,0.0194936,330.181,0.0189282,306.154,0.0220348,443.681,18.6885,0.0560258,274.467,0.846127,0.915456,38.702,0.104691,4.79668,
117,CT,ap,
117,CT,pvp,
118,CT,ap,
118,CT,pvp,
119,CT,ap,0.968082,1.15554,0.0412185,246.879,0.0410799,234.967,0.0418518,304.841,3.01985,0.0607939,46.0351,0.922332,0.956545,90.5344,0.0569521,4.3734,
119,CT,pvp,0.952809,1.20865,0.0381333,220.561,0.037687,206.761,0.0399635,284.883,3.69186,0.0660572,49.2126,0.886375,0.939506,118.563,0.0687233,4.3183,
120,CT,ap,0.896796,1.54591,0.0121492,376.974,0.0116504,333.707,0.0148151,607.859,56.5313,0.0558041,764.62,0.764687,0.86265,35.8156,0.19956,5.0502,
120,CT,pvp,0.912159,1.44645,0.009372,504.703,0.00888521,454.558,0.0116138,762.011,65.5863,0.0612936,844.955,0.795618,0.882972,37.9807,0.161364,4.90423,
121,CT,ap,0.946676,1.24991,0.0152063,320.873,0.0149504,302.177,0.0163734,409.439,12.8627,0.0520005,218.301,0.870145,0.928539,40.0873,0.0881871,4.79431,
121,CT,pvp,0.942178,1.26552,0.0168898,318.5,0.0165633,298.135,0.0183227,412.086,13.029,0.053308,211.562,0.860337,0.923937,41.2651,0.0914493,4.78456,
122,CT,ap,
122,CT,pvp,
123,CT,ap,
123,CT,pvp,
124,CT,ap,0.956094,1.18508,0.043538,238.046,0.0425042,225.246,0.0477188,293.057,4.56708,0.059211,78.5665,0.892143,0.944057,85.8447,0.0598173,4.48729,
124,CT,pvp,0.963923,1.15051,0.0449912,207.726,0.0440923,199.077,0.0485973,246.007,4.15802,0.0559267,71.1885,0.910197,0.953895,71.2321,0.0490726,4.50123,
125,CT,ap,0.931635,1.32735,0.0176711,393.944,0.0164361,362.558,0.0231076,547.107,16.5674,0.0536962,250.822,0.837618,0.909684,48.26,0.114762,4.8747,
125,CT,pvp,0.938168,1.28821,0.0159513,270.879,0.0151866,254.024,0.019763,348.841,18.0649,0.055391,276.855,0.850801,0.91819,36.0051,0.100363,4.78514,
126,CT,ap,
126,CT,pvp,
127,CT,ap,0.949967,1.21791,0.0243985,250.873,0.0234872,238.702,0.0281604,303.747,7.95014,0.05175,139.772,0.877087,0.935034,58.0197,0.0725407,4.73319,
127,CT,pvp,0.945725,1.24507,0.0178635,290.487,0.0173983,275.33,0.0200115,357.91,9.36768,0.0494439,167.484,0.867413,0.928469,49.6982,0.0841151,4.81057,
128,CT,ap,0.942472,1.26623,0.0267798,263.941,0.0257794,247.593,0.0309438,340.667,5.34627,0.06076,79.1733,0.860899,0.923964,64.4409,0.0920369,4.55141,
128,CT,pvp,0.945029,1.23181,0.0293864,258.815,0.0280513,243.002,0.0347578,326.851,4.60831,0.0518546,76.9179,0.865731,0.930282,75.5496,0.0745574,4.69096,
129,CT,ap,0.966403,1.15414,0.043733,198.822,0.0435611,188.231,0.0444785,247.957,2.40334,0.0590819,37.4346,0.91672,0.954578,125.34,0.0540818,4.34293,
129,CT,pvp,0.966408,1.14386,0.0512912,174.06,0.0496956,166.524,0.0577297,205.808,2.52785,0.0609135,38.2819,0.916058,0.956054,99.127,0.0480524,4.33552,
130,CT,ap,0.94718,1.24328,0.0151029,339.128,0.0148393,319.221,0.0162653,431.905,19.54,0.0520519,323.972,0.87105,0.929785,37.5883,0.0848392,4.7995,
130,CT,pvp,0.950672,1.22227,0.0137562,311.956,0.0135219,296.472,0.0147957,382.063,20.946,0.0540067,335.458,0.8788,0.934801,36.2046,0.0764763,4.75442,
131,CT,ap,
131,CT,pvp,
132,CT,ap,0.958019,1.18914,0.0304386,260.674,0.0302568,248.169,0.0312407,317.818,4.91709,0.0564793,77.9339,0.897047,0.94471,59.6856,0.0648584,4.56572,
132,CT,pvp,0.944136,1.23551,0.0289942,319.011,0.0286717,294.538,0.030495,420.133,4.76466,0.0470368,86.4543,0.86396,0.929562,64.7491,0.0752463,4.81142,
133,CT,ap,0.960128,1.19251,0.0467874,201.303,0.044831,193.353,0.0621878,235.95,3.7904,0.0543125,63.0226,0.902369,0.945,68.2962,0.0694869,4.55423,
133,CT,pvp,0.947065,1.23277,0.0358625,260.253,0.0336445,244.006,0.0447916,333.04,4.32021,0.0611049,60.4127,0.870704,0.931103,81.0638,0.0778823,4.51617,
134,CT,ap,0.931037,1.33547,0.0176037,399.327,0.0173796,365.767,0.0186811,563.865,16.3626,0.0617325,211.803,0.836103,0.90803,42.7221,0.119289,4.70523,
134,CT,pvp,0.925672,1.35629,0.0161528,399.607,0.0156964,365.341,0.018113,564.964,16.6347,0.0570502,238.317,0.823895,0.902053,39.3446,0.125293,4.81963,
135,CT,ap,
135,CT,pvp,
136,CT,ap,0.942047,1.26215,0.0362105,333.355,0.0357967,312.412,0.0379707,430.137,11.1556,0.0601095,174.306,0.860992,0.924597,74.3142,0.0886777,4.59454,
136,CT,pvp,0.920169,1.3866,0.0138473,368.445,0.0133103,336.841,0.01625,521.928,14.0582,0.0491817,237.501,0.812985,0.895655,47.2704,0.1344,4.95416,
137,CT,ap,0.938118,1.29415,0.0195122,354.853,0.0191547,329.312,0.0211404,474.589,9.04965,0.0507412,151.904,0.850763,0.917347,54.1876,0.10431,4.84514,
137,CT,pvp,0.934992,1.30808,0.0183472,357.912,0.0178216,330.827,0.0206003,487.517,9.32173,0.0494575,158.09,0.84499,0.914268,50.5828,0.10772,4.87397,
138,CT,ap,
138,CT,pvp,
139,CT,ap,0.953407,1.20974,0.0321953,272.827,0.031841,257.737,0.0336933,341.509,7.84164,0.0581552,122.612,0.885976,0.938573,69.3745,0.0719656,4.57197,
139,CT,pvp,0.958616,1.182,0.0222218,264.21,0.0219249,252.845,0.0235283,314.349,8.97563,0.0525666,151.871,0.89756,0.945631,47.9357,0.0616329,4.67527,
140,CT,ap,0.956613,1.1974,0.0545176,190.617,0.0517445,181.101,0.0658666,233.179,3.03387,0.0629853,43.4227,0.895702,0.943267,104.034,0.0668429,4.2984,
140,CT,pvp,0.944557,1.23552,0.0324641,233.142,0.032063,219.852,0.0341146,290.486,4.97602,0.0655072,65.2923,0.865672,0.930021,67.902,0.0763574,4.46874,
141,CT,ap,0.945049,1.25185,0.011286,279.829,0.0109216,265.488,0.0129521,344.86,49.1034,0.0557566,750.267,0.865925,0.927087,29.4646,0.0873924,4.76064,
141,CT,pvp,0.928446,1.33893,0.0104478,287.01,0.00993791,268.492,0.0129087,372.716,42.7101,0.0518994,672.554,0.829649,0.905878,33.4571,0.117893,4.91877,
142,CT,ap,0.913095,1.43599,0.0116817,388.857,0.0108264,352.216,0.016212,574.856,40.5285,0.0505612,650.677,0.797947,0.885095,38.5926,0.155612,5.04957,
142,CT,pvp,0.927635,1.34813,0.0135282,359.417,0.013013,331.206,0.0160426,494.798,43.38,0.0516988,692.469,0.828282,0.904185,37.0019,0.12223,4.9381,
143,CT,ap,0.958601,1.1823,0.0266461,277.349,0.0262379,266.334,0.0283331,327.698,5.44684,0.0517206,93.7733,0.8978,0.945596,46.5784,0.0616105,4.65572,
143,CT,pvp,0.966502,1.15338,0.0289924,244.159,0.0282312,236.102,0.0321108,281.609,5.47493,0.0519047,98.0473,0.916487,0.954262,53.3444,0.0543128,4.64424,
144,CT,ap,0.945834,1.24463,0.0146629,334.278,0.0141545,314.492,0.016779,424.412,24.2227,0.0575316,359.344,0.867492,0.928715,32.2746,0.083952,4.72239,
144,CT,pvp,0.93222,1.32157,0.0132863,312.693,0.0128557,290.387,0.0152122,417.545,20.9672,0.0522887,331.638,0.837888,0.910398,34.1196,0.112728,4.87006,
145,CT,ap,
145,CT,pvp,
146,CT,ap,0.96743,1.13028,0.0321804,234.2,0.0313092,226.294,0.0356651,265.828,4.08783,0.0506505,73.9325,0.918496,0.959067,55.8408,0.0407519,4.5937,
146,CT,pvp,0.950974,1.22049,0.0370846,209.834,0.0356721,200.488,0.0428766,252.214,3.91936,0.056387,62.3745,0.880691,0.935803,61.5447,0.07458,4.56238,
147,CT,ap,0.946877,1.24101,0.0289763,320.05,0.0282309,299.017,0.0320402,416.946,5.3592,0.0510657,89.722,0.870415,0.930098,68.5308,0.0825766,4.72349,
147,CT,pvp,0.93844,1.28772,0.0221014,355.109,0.021768,327.368,0.023547,484.334,6.90422,0.0520786,111.577,0.851827,0.918986,53.7814,0.100491,4.79008,
148,CT,ap,0.942878,1.25856,0.0125253,298.618,0.0119608,282.001,0.01494,374.034,26.3033,0.0508095,437.189,0.861228,0.92512,34.8949,0.0882465,4.86232,
148,CT,pvp,0.937518,1.28933,0.0135762,320.428,0.0127931,300.075,0.0169113,414.604,26.7984,0.0540302,416.96,0.849221,0.917715,34.1321,0.100411,4.82898,
149,CT,ap,
149,CT,pvp,
150,CT,ap,
150,CT,pvp,
151,CT,ap,0.946565,1.24112,0.009421,303.537,0.00911438,287.921,0.010816,373.514,97.1534,0.0536488,1579.22,0.868993,0.929432,28.9521,0.082904,4.81356,
151,CT,pvp,0.942122,1.26494,0.00942627,300.399,0.00906044,283.156,0.0111043,379.188,94.6981,0.0521377,1560.68,0.859103,0.923513,30.6099,0.0917373,4.86252,
152,CT,ap,
152,CT,pvp,
153,CT,ap,
153,CT,pvp,
154,CT,ap,0.964253,1.15558,0.034306,228.47,0.0332565,220.921,0.0386225,260.787,5.27503,0.0525409,91.6675,0.910483,0.952654,58.657,0.0528529,4.60599,
154,CT,pvp,0.969507,1.12843,0.0625387,186.87,0.0616851,179.885,0.0659978,215.741,2.88129,0.056141,48.4147,0.923227,0.96033,80.3354,0.042443,4.44092,
155,CT,ap,0.938107,1.29392,0.0182609,360.421,0.0180277,333.823,0.0192941,489.804,9.60832,0.0560143,145.786,0.851153,0.91787,57.6333,0.103814,4.71065,
155,CT,pvp,0.940044,1.2722,0.0193897,353.732,0.0190374,329.664,0.0216287,464.842,10.5641,0.0561121,162.05,0.855129,0.921696,52.9808,0.0928881,4.72689,
156,CT,ap,0.947009,1.23995,0.0226086,243.826,0.0212531,230.262,0.0282137,304.18,8.93185,0.0514504,153.159,0.871053,0.93032,39.7092,0.0821811,4.74983,
156,CT,pvp,0.943082,1.2579,0.0302185,246.787,0.0296541,232.502,0.0326968,309.542,8.79261,0.0583548,137.481,0.862036,0.925436,59.2996,0.0882706,4.63336,
157,CT,ap,0.92655,1.34924,0.0173469,319.177,0.0160861,294.603,0.0228097,437.757,21.6861,0.0536237,330.529,0.826418,0.903947,39.8471,0.121104,4.8947,
157,CT,pvp,0.926946,1.34496,0.0154389,360.434,0.0145821,331.764,0.0190933,497.349,19.8332,0.0540451,306.088,0.827368,0.904811,44.2835,0.118903,4.87614,
158,CT,ap,0.928834,1.34351,0.0134311,388.961,0.0129265,357.288,0.0156885,542.341,35.6282,0.0511985,570.141,0.83075,0.905512,42.4649,0.121484,4.94583,
158,CT,pvp,0.931036,1.32283,0.0129927,347.595,0.0125687,321.593,0.0149721,470.599,38.5967,0.0540351,586.093,0.835493,0.909476,37.2469,0.111466,4.86787,
159,CT,ap,0.946288,1.24781,0.0163939,339.86,0.0158348,320.511,0.0187952,429.408,15.3915,0.0527888,257.135,0.868723,0.92832,39.3268,0.0865698,4.78608,
159,CT,pvp,0.944788,1.25514,0.0149338,320.415,0.0143884,302.585,0.0172639,402.522,15.1867,0.0531618,252.521,0.865557,0.926606,36.7929,0.0888782,4.79991,
160,CT,ap,0.93205,1.31441,0.011409,348.357,0.010886,324.129,0.01372,460.706,51.5466,0.0564613,758.594,0.836992,0.910917,29.9011,0.108121,4.82671,
160,CT,pvp,0.932181,1.32316,0.0114527,329.189,0.0108817,306.4,0.0143818,436.838,52.464,0.0607968,703.989,0.837803,0.91011,27.9928,0.113819,4.74679,
161,CT,ap,0.944023,1.26308,0.0299254,233.59,0.0295161,217.317,0.0317363,311.223,5.3624,0.064715,71.6769,0.865932,0.925784,83.5214,0.0909496,4.42326,
161,CT,pvp,0.951766,1.21547,0.0287421,274.356,0.0285262,259.918,0.0296975,337.788,5.95271,0.0526618,104.785,0.882301,0.936704,62.6367,0.07295,4.69263,
162,CT,ap,0.962225,1.18341,0.0434071,243.829,0.0402399,234.246,0.0561832,292.002,3.51254,0.0570192,55.9922,0.907198,0.948035,80.3523,0.0681271,4.48904,
162,CT,pvp,0.957273,1.18841,0.0308392,246.839,0.0295523,234.128,0.03603,305.159,4.34083,0.0588193,66.2555,0.894693,0.943767,81.3889,0.0638128,4.47834,
163,CT,ap,0.939541,1.28784,0.0175342,400.866,0.0165977,372.687,0.0215614,538.983,14.6898,0.0521,236.642,0.854098,0.919267,47.0053,0.102406,4.85464,
163,CT,pvp,0.940546,1.2657,0.0183754,354.61,0.0172028,330.442,0.0231462,463.514,12.7392,0.0562344,193.251,0.856721,0.923175,44.6454,0.088489,4.77102,
164,CT,ap,
164,CT,pvp,
165,CT,ap,0.94867,1.22053,0.0329643,304.609,0.0318947,287.209,0.0372758,381.287,4.35116,0.051567,76.2793,0.874754,0.934564,74.3153,0.0722972,4.6776,
165,CT,pvp,0.958678,1.17016,0.0380548,230.875,0.0362513,220.585,0.0452879,273.281,3.72366,0.0557372,60.6204,0.897881,0.947822,73.5067,0.0540606,4.53467,
166,CT,ap,0.923929,1.37442,0.0109876,417.583,0.0106538,382.841,0.012492,589.148,50.6724,0.0680772,589.205,0.819905,0.898405,29.014,0.134003,4.68283,
166,CT,pvp,0.923357,1.37605,0.0114494,383.775,0.0109846,352.789,0.0138736,535.775,52.0458,0.0698299,594.968,0.819045,0.898129,26.6151,0.133898,4.64092,
167,CT,ap,
167,CT,pvp,
168,CT,ap,
168,CT,pvp,
169,CT,ap,0.945996,1.246,0.0201514,281.723,0.0197057,265.508,0.0220703,355.948,8.79949,0.060107,128.692,0.868751,0.928714,49.9794,0.084638,4.59748,
169,CT,pvp,0.953928,1.2118,0.0301433,224.797,0.0292988,213.655,0.0336378,279.06,6.05777,0.0672842,83.9174,0.886647,0.938426,66.0305,0.0744421,4.39896,
170,CT,ap,0.938884,1.27285,0.0195651,304.773,0.0187987,285.673,0.0230044,388.779,16.1357,0.0467592,293.806,0.851987,0.921007,49.0371,0.0921195,4.9358,
170,CT,pvp,0.937433,1.28212,0.0155277,286.426,0.0148903,269.071,0.0183267,364.779,19.6578,0.0503367,330.833,0.848515,0.918478,38.953,0.0958309,4.86542,
171,CT,ap,0.938615,1.28486,0.0121835,330.621,0.0118306,309.257,0.013741,429.955,34.7085,0.0538219,539.586,0.851755,0.918884,32.1731,0.0988623,4.83433,
171,CT,pvp,0.941526,1.26552,0.0115255,303.621,0.0110603,285.644,0.0135244,385.139,40.3371,0.0558316,615.372,0.857784,0.923162,29.6552,0.0911004,4.77535,
172,CT,ap,0.938014,1.28611,0.0164571,288.725,0.015971,270.016,0.0186441,373.992,11.1821,0.0512468,187.497,0.850571,0.918566,46.3785,0.0983908,4.83175,
172,CT,pvp,0.937455,1.2921,0.0219133,298.442,0.0206427,279.545,0.0275028,386.148,10.6563,0.0475557,193.693,0.849906,0.917449,50.1603,0.101074,4.90767,
173,CT,ap,0.947438,1.2377,0.0193466,335.685,0.0190767,316.715,0.020499,423.657,6.30419,0.0508682,108.445,0.871906,0.930862,50.2477,0.0811368,4.76165,
173,CT,pvp,0.947486,1.23445,0.0211031,288.324,0.0207761,271.556,0.0225057,362.636,6.95414,0.0536576,113.323,0.871658,0.931331,44.8677,0.07989,4.6949,
174,CT,ap,0.941364,1.2499,0.0394339,210.639,0.037785,195.244,0.0461567,274.075,3.3578,0.0582325,49.9905,0.860124,0.926617,125.304,0.0793448,4.4568,
174,CT,pvp,0.961486,1.16969,0.0366099,167.223,0.0361315,160.89,0.038614,195.95,3.81398,0.0655576,54.2329,0.904774,0.949247,102.832,0.0575215,4.29351,
175,CT,ap,
175,CT,pvp,
176,CT,ap,0.961387,1.16988,0.0477153,149.422,0.047249,143.322,0.0500092,174.378,2.3133,0.061458,33.9953,0.905012,0.949775,145.308,0.0567533,4.24768,
176,CT,pvp,0.969106,1.19168,0.0596917,138.957,0.0593619,134.046,0.0612766,176.037,2.8175,0.0727892,35.8015,0.924314,0.9541,204.441,0.0858708,4.04031,
177,CT,ap,
177,CT,pvp,
178,CT,ap,0.945532,1.2536,0.0252732,369.401,0.0250875,343.549,0.0260887,491.321,6.39194,0.050871,107.923,0.866977,0.927265,57.7069,0.0895672,4.79959,
178,CT,pvp,0.957241,1.19056,0.0250456,254.923,0.0243612,244.735,0.0278811,300.347,6.75513,0.0537917,112.231,0.894181,0.943474,54.6482,0.0653004,4.6468,
179,CT,ap,0.917909,1.40285,0.0129402,305.527,0.0124289,279.547,0.0152942,433.905,48.5889,0.0631796,605.708,0.807666,0.891861,28.0101,0.142221,4.78967,
179,CT,pvp,0.918316,1.40525,0.0127468,327.516,0.0123301,298.672,0.0147316,471.72,42.1074,0.0593853,547.867,0.808579,0.891609,30.9185,0.144219,4.84621,
180,CT,ap,0.951083,1.22001,0.0225761,272.712,0.0220936,258.443,0.0247287,335.646,8.85505,0.0495587,157.77,0.88028,0.935644,43.0653,0.0755141,4.77945,
180,CT,pvp,0.956096,1.19133,0.0183036,268.787,0.0178413,256.675,0.0202692,320.852,11.1551,0.0513115,193.859,0.891495,0.942606,40.3523,0.064266,4.73773,
181,CT,ap,0.955373,1.19865,0.0280918,259.332,0.02743,246.114,0.0317889,317.883,5.83747,0.0547509,97.1612,0.890302,0.941432,61.4116,0.0676418,4.60439,
181,CT,pvp,0.958245,1.18513,0.0259542,282.232,0.0254324,268.961,0.0281394,339.717,6.23367,0.0523955,107.431,0.896916,0.945254,58.3156,0.06327,4.66458,
182,CT,ap,0.96164,1.15734,0.0373585,216.686,0.0364806,207.678,0.040893,253.375,4.44281,0.0603238,64.1754,0.904145,0.951184,64.5091,0.0503654,4.45101,
182,CT,pvp,0.949505,1.22178,0.0370715,210.382,0.0365983,196.576,0.0390049,275.531,3.82311,0.0555519,60.7103,0.877084,0.935073,104.427,0.0742574,4.52904,
183,CT,ap,0.956956,1.25278,0.0338544,275.553,0.033733,257.626,0.0345295,383.385,2.7183,0.0521368,47.8283,0.896968,0.934297,85.3135,0.10396,4.64892,
183,CT,pvp,0.96184,1.17071,0.0384613,223.158,0.0381038,211.23,0.0399326,278.863,3.01477,0.0502942,54.0803,0.90529,0.949216,96.5556,0.0586569,4.59504,
184,CT,ap,0.927007,1.34302,0.0173704,385.92,0.0168488,354.743,0.0195847,534.202,14.4489,0.0612224,187.999,0.827049,0.904741,40.176,0.11861,4.72066,
184,CT,pvp,0.922896,1.37106,0.0148729,404.481,0.0146112,367.66,0.0160594,583.299,12.241,0.0576399,168.615,0.818574,0.899304,52.3231,0.130333,4.77079,
185,CT,ap,0.927917,1.37339,0.0170941,415.884,0.0165331,377.447,0.0200179,619.125,14.2094,0.0498899,225.712,0.830082,0.902,53.6006,0.138697,4.9478,
185,CT,pvp,0.934038,1.3106,0.0210525,336.358,0.0204591,311.353,0.0238613,455.223,16.3088,0.0520874,253.888,0.842678,0.913374,39.6522,0.107892,4.856,
186,CT,ap,0.908687,1.49208,0.0256845,462.915,0.0249713,407.925,0.0288123,767.673,10.0096,0.0534526,147.465,0.789251,0.874805,56.8733,0.183259,4.93975,
186,CT,pvp,0.896506,1.53501,0.0204032,403.522,0.0200475,350.251,0.022043,688.754,10.2666,0.0504383,156.723,0.767968,0.864715,56.5108,0.187797,4.99991,
187,CT,ap,
187,CT,pvp,
188,CT,ap,0.962788,1.15196,0.0331897,256.659,0.0316449,245.337,0.0393873,302.475,5.0107,0.0551087,83.3475,0.906682,0.952595,62.1562,0.0486183,4.59093,
188,CT,pvp,0.958309,1.17284,0.027619,263.323,0.0273603,249.668,0.0286742,319.814,4.70914,0.0507922,85.6049,0.897301,0.947208,47.5608,0.0551793,4.67936,
189,CT,ap,0.966293,1.13863,0.0271401,272.533,0.0269333,262.485,0.0279759,314.404,4.42179,0.0566081,70.7782,0.916121,0.957227,61.5348,0.0442615,4.53411,
189,CT,pvp,0.952833,1.20134,0.0293966,224.719,0.0290547,214.209,0.0308277,269.498,4.34687,0.0583775,68.3797,0.884871,0.939879,72.6404,0.0652921,4.51018,
190,CT,ap,0.939812,1.27194,0.021196,361.544,0.0210071,334.135,0.0220539,486.375,6.83425,0.0555444,104.824,0.85463,0.921561,58.0726,0.091667,4.71666,
190,CT,pvp,0.932822,1.31333,0.0231798,342.82,0.0228987,313.552,0.0246006,476.18,5.93632,0.0529821,94.5178,0.840622,0.911897,65.9802,0.10703,4.76814,
191,CT,ap,0.936587,1.30089,0.0120404,332.135,0.011758,310.398,0.013337,434.584,30.6691,0.0592283,429.567,0.847688,0.915716,29.9154,0.105875,4.74329,
191,CT,pvp,0.927541,1.35475,0.0145242,326.155,0.0141181,300.414,0.0164086,451.755,26.734,0.0562364,376.148,0.82844,0.903844,34.4114,0.126058,4.82547,
192,CT,ap,0.962623,1.14951,0.0500486,135.497,0.0495278,129.4,0.0521316,159.881,2.50764,0.0692064,33.0375,0.908599,0.953947,154.111,0.0457004,4.10332,
192,CT,pvp,0.986953,1.05219,0.0728681,114.795,0.0695827,112.956,0.08601,122.153,1.94854,0.0672198,28.0348,0.96642,0.98319,176.916,0.01679,4.04341,
193,CT,ap,
193,CT,pvp,
